Driver,LapNumber,PitOutTime,PitInTime
PIA,15.0,0 days 01:22:21.395000,
NOR,16.0,0 days 01:24:01.276000,
RUS,15.0,0 days 01:22:25.322000,
VER,14.0,0 days 01:20:55.521000,
OCO,12.0,0 days 01:17:45.530000,
ANT,13.0,0 days 01:19:20.620000,
ALB,21.0,0 days 01:32:36.100000,
BEA,27.0,0 days 01:42:35.857000,
STR,37.0,0 days 01:58:56.390000,
SAI,18.0,0 days 01:27:45.024000,
HAD,13.0,0 days 01:19:22.914000,
HAD,34.0,0 days 01:54:10.161000,
LAW,1.0,0 days 00:59:12.755000,
LAW,19.0,0 days 01:29:28.538000,
LAW,31.0,0 days 01:49:26.455000,
DOO,12.0,0 days 01:17:51.221000,
BOR,2.0,0 days 01:01:28.427000,
BOR,27.0,0 days 01:43:10.530000,
HUL,21.0,0 days 01:33:03.878000,
TSU,12.0,0 days 01:17:42.512000,
TSU,36.0,0 days 01:57:20.508000,
TSU,47.0,0 days 02:15:49.270000,
LEC,16.0,0 days 01:24:06.526000,
HAM,14.0,0 days 01:20:50.029000,
HAM,38.0,0 days 02:00:12.853000,
GAS,11.0,0 days 01:16:07.887000,
